LH,LS,LV,UH,US,UV,img_masked_id,img_raw_id,Hue
30,140,38,60,255,103,masked_imgraw_10.jpg,imgraw_10.jpg,42.789254941713125
30,93,14,60,255,107,masked_imgraw_11.jpg,imgraw_11.jpg,42.52225841476656
22,121,41,60,255,107,masked_imgraw_12.jpg,imgraw_12.jpg,41.46703411707249
22,96,44,60,255,107,masked_imgraw_13.jpg,imgraw_13.jpg,42.70853445619801
8,71,16,60,255,119,masked_imgraw_16.jpg,imgraw_16.jpg,42.61763063422417
33,118,3,60,255,119,masked_imgraw_17.jpg,imgraw_17.jpg,44.28370010479185
33,115,38,60,255,119,masked_imgraw_18.jpg,imgraw_18.jpg,42.3421609339497
33,115,38,60,255,119,masked_imgraw_19.jpg,imgraw_19.jpg,41.62487200968072
33,82,41,63,255,125,masked_imgraw_20.jpg,imgraw_20.jpg,40.92598731622946
25,101,41,63,255,125,masked_imgraw_21.jpg,imgraw_21.jpg,39.19903387949605
25,101,41,63,255,125,masked_imgraw_22.jpg,imgraw_22.jpg,38.68415646666096
25,101,25,63,255,125,masked_imgraw_23.jpg,imgraw_23.jpg,40.27286038163612
25,101,25,63,255,125,masked_imgraw_24.jpg,imgraw_24.jpg,36.67812618058179
25,77,66,63,255,125,masked_imgraw_25.jpg,imgraw_25.jpg,38.82558467173852
33,137,33,71,255,121,masked_imgraw_26.jpg,imgraw_26.jpg,42.83730569948187
33,93,33,71,255,121,masked_imgraw_27.jpg,imgraw_27.jpg,40.07787274453941
33,93,33,71,255,121,masked_imgraw_28.jpg,imgraw_28.jpg,41.89743301900913
33,137,44,71,255,121,masked_imgraw_29.jpg,imgraw_29.jpg,40.9947248823243
33,137,19,71,255,121,masked_imgraw_30.jpg,imgraw_30.jpg,43.513591756624145
33,132,19,71,255,99,masked_imgraw_31.jpg,imgraw_31.jpg,41.183240030010964
33,134,30,55,255,99,masked_imgraw_32.jpg,imgraw_32.jpg,41.30325272736413
33,134,30,55,255,99,masked_imgraw_33.jpg,imgraw_33.jpg,41.137007785806304
27,110,44,52,255,103,masked_imgraw_34.jpg,imgraw_34.jpg,39.378687031458
27,85,47,55,255,103,masked_imgraw_35.jpg,imgraw_35.jpg,43.17252846921294
27,93,16,55,255,130,masked_imgraw_39.jpg,imgraw_39.jpg,44.29037724070275
27,96,36,55,255,113,masked_imgraw_4.jpg,imgraw_4.jpg,41.309626869760564
27,112,36,55,255,113,masked_imgraw_40.jpg,imgraw_40.jpg,42.461571170405016
27,112,36,55,255,113,masked_imgraw_41.jpg,imgraw_41.jpg,43.15598036298721
27,112,36,55,255,113,masked_imgraw_44.jpg,imgraw_44.jpg,40.04132596685083
27,112,36,55,255,113,masked_imgraw_47.jpg,imgraw_47.jpg,44.13498061052004
27,129,36,55,255,123,masked_imgraw_5.jpg,imgraw_5.jpg,39.63978523489933
27,129,36,55,255,123,masked_imgraw_6.jpg,imgraw_6.jpg,45.13252940477605
25,104,11,55,255,123,masked_imgraw_65.jpg,imgraw_65.jpg,41.75955495554211
0,90,96,55,255,158,masked_imgraw_67.jpg,imgraw_67.jpg,30.00752553305859
5,93,69,44,255,192,masked_imgraw_69.jpg,imgraw_69.jpg,35.10261973206053
5,93,69,44,255,192,masked_imgraw_73.jpg,imgraw_73.jpg,30.766007771583038
5,156,49,52,255,184,masked_imgraw_77.jpg,imgraw_77.jpg,36.646674648960484
5,137,49,52,255,184,masked_imgraw_78.jpg,imgraw_78.jpg,35.72917054986021
5,41,49,52,255,184,masked_imgraw_79.jpg,imgraw_79.jpg,35.35889872173058
5,104,16,52,255,184,masked_imgraw_8.jpg,imgraw_8.jpg,40.910291481935666
5,104,80,52,255,184,masked_imgraw_81.jpg,imgraw_81.jpg,35.98796389167502
5,112,80,52,255,184,masked_imgraw_87.jpg,imgraw_87.jpg,36.27212693754013
27,112,63,55,255,128,masked_imgraw_9.jpg,imgraw_9.jpg,38.710286320254504
19,74,55,66,255,170,masked_imgraw_91.jpg,imgraw_91.jpg,40.11553194118374
19,71,90,69,255,170,masked_imgraw_94.jpg,imgraw_94.jpg,36.986556603773586
